ซีนที่ (Scene No),ช่วงเวลาในเพลง (Time),ความยาว (Duration),คลิปต้นทาง (Source Asset),วิที่ใช้ในคลิป (Source Range),คู่มือตัดต่อ (Editing Spec),คิวร้อง (Lyrics Cue),เรื่องราวในซีน (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),Photo Prompt (สำหรับเจนเดี่ยว),Motion Prompt (สำหรับเจนเดี่ยว)
1,0:00 - 0:07,7,MC-01,0:00 - 0:07,ภาพมุมกว้าง Wide Shot ปกติ เพื่อแสดงฉากทุ่งนาแสนสวยงามและน้องโฮมมี่โยกตัวต้อนรับ ใส่ฟิลเตอร์เพิ่มความสดใสและความคมชัดแบบภาพยนตร์พิกซาร์,[Intro] (ดนตรีนำ),น้องโฮมมี่ (Homey) ยืนโยกตัวอย่างร่าเริงตามจังหวะดนตรีทักทายผู้ชมบนทางเดินทุ่งนาพาสเทลสีเขียวขจี,Wide Shot,Eye-level,"`A wide shot of Homey, the cute monkey character with big round brown eyes, waving happily while swaying side-to-side on a grassy path. The background is a beautiful Playful Paddy Field under a clear sunny sky. Whimsical 3D musical notes float in the air. Disney Pixar 3D animation style, octane render, smooth polished textures, soft studio lighting, highly detailed, 16:9 aspect ratio.`","`Camera static. Homey does a joyful side-to-side step dance, waving his hand at the camera. The 3D musical notes gently bounce. Clean video, no text, Disney Pixar style.`"
2,0:07 - 0:14,7,MC-01,0:03 - 0:10,"ซูมและครอปภาพ 140% (Medium Shot) เจาะไปที่การเคลื่อนไหวของโฮมมี่, ซ้อนทับ (Chroma Key) ไฟล์ MC-06 (ปูดำและปูนาเต้นดุ๊กดิ๊ก) ไว้ที่มุมด้านล่างของเฟรมภาพ",0:01 จับปูดำ ขยำปูนา,น้องโฮมมี่เต้นย่อตัวเอามือจับขยำเลียนแบบท่าก้ามปู และมีปูดำกับปูนาการ์ตูนตัวเล็กๆ คลานเต้นโยกเยกไปมาด้านล่าง,Medium Shot,Slight low-angle,"`Medium shot of Homey the monkey crouching on a smooth grass ridge in a paddy field, mimicking crab claws with his hands, smiling playfully. A cute black mud crab and a brown ricefield crab with big eyes are nearby. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey does the 'crab claws grab and squeeze' dance motion, moving his body left and right. The crabs move their claws in sync. Clean video, no text, Disney Pixar style.`"
3,0:14 - 0:21,7,MC-01,0:00 - 0:07,"กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip Horizontal) เพื่อไม่ให้ภาพซ้ำกับซีน 1, ซูมภาพ 150% (Medium Shot) และขยับเฟรมขึ้นบนเล็กน้อยเพื่อเน้นท่ากระโดดคว้าของตัวละคร",0:04 จับปูม้า คว้าปูทะเล,น้องโฮมมี่กระโดดไปอีกฝั่งและยื่นมือขึ้นไปคว้าบนอากาศอย่างกระฉับกระเฉง เลียนแบบท่าจับปูม้าและคว้าปูทะเล,Medium Shot,Eye-level,"`Medium shot of Homey the monkey jumping sideways with arms extended, attempting to 'catch' invisible crabs in the air, laughing happily. The background is a sunny Playful Paddy Field. Disney Pixar 3D animation style, octane render, smooth polished textures, volumetric lighting, 16:9 aspect ratio.`","`Homey performs the side jump-reach motion, reaching his hands up and forward twice to the beat. Clean video, no text, Disney Pixar style.`"
4,0:21 - 0:28,7,MC-01,0:03 - 0:10,ซูม 180% (Close-up) เจาะไปที่ใบหน้ารอยยิ้มกว้างของโฮมมี่ เพื่อเน้นการแสดงออกทางสีหน้าที่สดใสและทะเล้นตามดีไซน์ของพิกซาร์,0:08 สนุกจริงเอย แล้วเลยนอนเปล,น้องโฮมมี่ทำท่าส่ายตัวยกนิ้วโป้งสองข้างและส่งรอยยิ้มกว้างขยิบตาอย่างแฮปปี้สุดๆ,Close-up,Eye-level,"`Close-up shot of Homey the monkey with a huge smile, winking and showing two thumbs up. The background is a soft green paddy field. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey shakes his hips and wiggles his head while showing thumbs up. Slow camera zoom in on his face. Clean video, no text, Disney Pixar style.`"
5,0:28 - 0:35,7,MC-01,0:00 - 0:07,"ปรับลดความเร็ววิดีโอ (Slow-motion 0.8x) เพื่อสอดคล้องกับจังหวะเพลงกล่อมเด็กที่นุ่มนวลขึ้น, ปรับแต่งย้อมสี (Color Filter) ให้เป็นโทนสีอบอุ่นอมเหลืองทองอ่อนๆ",0:11 ชะโอละเห่นอนเปลหลับไป / 0:15 ชะโอละเห่นอนเปลหลับไป,น้องโฮมมี่เอียงหัวประกบฝ่ามือหนุนใต้แก้ม หลับตาพริ้ม ส่ายร่างกายไปมาเบาๆ เลียนแบบเปลไกวกล่อมตัวนอน,Medium Shot,Eye-level,"`Medium shot of Homey the monkey tilting his head, closing his eyes, and placing his hands together under his cheek as if sleeping, swaying gently. Disney Pixar 3D animation style, soft studio lighting, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey sways slowly side-to-side in a sleeping pose. The background colors shift slightly to warmer tones. Clean video, no text, Disney Pixar style.`"
6,0:35 - 0:42,7,MC-02,0:00 - 0:07,ตัดข้ามฉากมาที่ชายหาดริมทะเล! ใช้ภาพมุมกว้าง Wide Shot ปกติของ MC-02 เพื่อเปิดตัวสถานใหม่ให้ผู้ชมเห็นทิวทัศน์ที่สดชื่น,0:20 จับปูดำ ขยำปูนา (รอบที่ 2),น้องโฮมมี่เปลี่ยนฉากหลังมาเต้นบนพื้นทรายละเอียดสีครีมของชายหาด โยกตัวไปมาตามจังหวะกลองกล่อมเด็ก,Wide Shot,Eye-level,"`Wide shot of Homey the monkey dancing on a white sandy beach with turquoise sea water in the background. A cute blue-spotted swimming crab and a green mangrove crab wave their claws. Disney Pixar 3D animation style, octane render, smooth polished textures, bright sunny day, 16:9 aspect ratio.`","`Homey does the 'crab claws grab and squeeze' dance on the sand. The ocean waves roll in gently behind him. Clean video, no text, Disney Pixar style.`"
7,0:42 - 0:49,7,MC-02,0:03 - 0:10,ซูมและครอปภาพ 130% (Medium Shot) เพื่อให้เห็นตัวละครหลักขยับกระโดดเด่นขึ้นชัดเจนริมทะเล ซ้อนทับ MC-06 (ปูม้าและปูทะเลเต้นดุ๊กดิ๊ก) ด้านล่าง,0:23 จับปูม้า คว้าปูทะเล,น้องโฮมมี่เต้นกระโดดสเต็ปเอื้อมแขนคว้าจับปูม้าและปูทะเลที่วิ่งอยู่บนพื้นทรายอย่างสนุกสนาน,Medium Shot,Eye-level,"`Medium shot of Homey the monkey leaping sideways with arms raised high, catching sand particles. Beautiful tropical beach background. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey does the side jump-reach motion. Camera tracks left to right keeping Homey centered. Clean video, no text, Disney Pixar style.`"
8,0:49 - 0:56,7,MC-02,0:00 - 0:07,กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip Horizontal) และซูมภาพ 150% เจาะเห็นตัวละครครึ่งตัวเต้นท่าชูนิ้วโป้งแสนสนุก,0:27 สนุกจริงเอย แล้วเลยนอนเปล,โฮมมี่ยิ้มแป้นส่ายสะโพกชูสองนิ้วโป้งท้าทายแสงแดดทะเลพาสเทลสวยงาม,Medium Shot,Slight high-angle,"`Medium shot of Homey the monkey showing two thumbs up, dancing on the beach. Behind him, two cartoon crabs are also raised up on their legs dancing. Disney Pixar 3D animation style, octane render, smooth polished textures, bright lighting, 16:9 aspect ratio.`","`Homey shakes hips and shows thumbs up. The crabs in the background mimic the hip shake. Clean video, no text, Disney Pixar style.`"
9,0:56 - 1:03,7,MC-02,0:03 - 0:10,"ปรับความเร็วสโลว์ (0.8x), ย้อมสีฟิลเตอร์โทนเย็นอมส้มชมพู (Warm Sunset Filter) เพื่อเลียนแบบบรรยากาศชายหาดยามพระอาทิตย์อัสดงที่นุ่มนวลชวนฝัน",0:30 ชะโอละเห่นอนเปลหลับไป / 0:35 ชะโอละเห่นอนเปลหลับไป,น้องโฮมมี่โพสท่านอนหลับเอียงคอหนุนฝ่ามือและโยกตัวไปมาเบาๆ บนชายหาดยามเย็นที่พระอาทิตย์กำลังตกดิน,Medium Shot,Eye-level,"`Close-up of Homey the monkey looking sleepy, head tilted onto his hands, blinking slowly. Sunset beach lighting with golden reflections. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey sways slowly side-to-side under warm sunset lighting. The camera does a slow drift forward. Clean video, no text, Disney Pixar style.`"
10,1:03 - 1:10,7,MC-03,0:00 - 0:07,ตัดสลับกลับมาฉากทุ่งนา! ซูมเจาะ 140% ค้นหาเฟรมซ้ายถึงกลาง (focus on Homey & Dad) เพื่อเน้นเฉพาะโฮมมี่และพ่อยีราฟที่เพิ่งเดินมาเต้นจับปูร่วมกัน,0:40 จับปูดำ ขยำปูนา (รอบที่ 3),พ่อยีราฟ (Dad) ก้มหัวยาวลงมาเต้นท่าจับขยำปูร่วมกับน้องโฮมมี่ บนทางเดินคันนาสีเขียว,Medium Shot,Eye-level,"`Wide shot of Homey the monkey and Dad (the tall giraffe wearing a green polo shirt) both crouching and dancing together on a path in the paddy field. They are making crab claw hands. Disney Pixar 3D animation style, octane render, smooth polished textures, bright lighting, 16:9 aspect ratio.`","`Homey and Dad perform the crab dance in sync. Dad bends his long neck to look at Homey while doing the motion. Clean video, no text, Disney Pixar style.`"
11,1:10 - 1:17,7,MC-03,0:03 - 0:10,ใช้มุมกว้าง Wide 100% ปกติ เพื่อรองรับสัดส่วนความสูงใหญ่ที่น่ารักของพ่อยีราฟและท่าเต้นกระโดดของทั้งสอง,0:43 จับปูม้า คว้าปูทะเล,พ่อยีราฟและน้องโฮมมี่เต้นสเต็ปกระโดดก้าวซ้าย-ขวาพร้อมยื่นแขนคว้าอย่างร่าเริงแจ่มใสเคียงข้างกัน,Wide Shot,Eye-level,"`Wide shot of Dad the giraffe and Homey the monkey jumping and reaching their hands sideways, trying to catch floating bubbles shaped like crabs. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey and Dad perform the side jump-reach in sync to the beat. Camera does a gentle truck left. Clean video, no text, Disney Pixar style.`"
12,1:17 - 1:24,7,MC-03,0:00 - 0:07,กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip Horizontal) และซูมครอป 130% โฟกัสไปที่ช่วงตัวของพ่อยีราฟที่ย่อตัวลงมาโยกตัวชูนิ้วโป้งกับโฮมมี่,0:47 สนุกจริงเอย แล้วเลยนอนเปล,พ่อยีราฟและน้องโฮมมี่ยกนิ้วโป้งส่ายตัวแดนซ์สนุกสนานสุดเหวี่ยงบนฉากท้องทุ่งนาสีส้มอมเขียว,Medium Shot,Slight low-angle,"`Medium shot of Dad the giraffe and Homey the monkey showing thumbs up and smiling widely towards the camera. Dad is bending low. Beautiful green background. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey and Dad shake hips and show thumbs up to the camera. Clean video, no text, Disney Pixar style.`"
13,1:24 - 1:31,7,MC-03,0:03 - 0:10,"สโลว์ 0.8x, ย้อนสีส้มทองอบอุ่นละมุนตา เพื่อลดระดับความตื่นเต้นและเปลี่ยนอารมณ์เตรียมตัวพักผ่อน",0:50 ชะโอละเห่นอนเปลหลับไป / 0:54 ชะโอละเห่นอนเปลหลับไป,พ่อยีราฟพับคอลงมาซบฝ่ามือหลับตา เช่นเดียวกับโฮมมี่ ทั้งคู่โยกกายกล่อมกันไปมาแสนอบอุ่น,Medium Shot,Eye-level,"`Medium shot of Dad the giraffe and Homey the monkey side-by-side with closed eyes, head resting on their hands, swaying like a rocking cradle. Disney Pixar 3D animation style, warm ambient light, octane render, smooth polished textures, 16:9 aspect ratio.`","`Dad and Homey perform the slow sleeping sway under cozy evening lighting. Clean video, no text, Disney Pixar style.`"
14,1:31 - 1:38,7,MC-04,0:00 - 0:07,สลับมาฉากชายหาด! ซูมเจาะ 140% โฟกัสไปที่เฟรมขวาถึงกลาง (focus on Homey & Mom) เพื่อเน้นการทำท่าเต้นปูกลุ่มกับคุณแม่หมีที่มาเพิ่มพลังงาน,0:58 จับปูดำ ขยำปูนา (รอบที่ 4 - เพิ่มความเข้มข้น),แม่หมี (Mom) สีน้ำตาลขนฟูนุ่มสวมคาร์ดิแกนสีชมพู มาร่วมเต้นท่าขยำปูดำปูนาร่วมกับโฮมมี่ริมทะเล,Medium Shot,Eye-level,"`Wide shot of Homey the monkey and Mom (the brown bear in a pink cardigan) dancing on the sand, doing the crab claw hand dance. Two cute blue crabs are dancing next to them. Disney Pixar 3D animation style, octane render, smooth polished textures, bright sunlight, 16:9 aspect ratio.`","`Homey and Mom perform crab dance in sync on the beach. Claws of the crabs snap in rhythm. Camera does a slow track right. Clean video, no text, Disney Pixar style.`"
15,1:38 - 1:45,7,MC-04,0:03 - 0:10,ใช้มุมกว้าง Wide 100% ปกติ เพื่อจับท่ากระโดดทางกว้างชายหาดของแม่หมีและโฮมมี่อย่างเต็มเฟรม,1:01 จับปูม้า คว้าปูทะเล,แม่หมีและน้องโฮมมี่กระโดดไปตามแนวหาดทรายขาวเอื้อมมือสุดแขนจับปูม้าปูทะเลอย่างสนุกสนาน,Wide Shot,Eye-level,"`Wide shot of Mom the bear and Homey the monkey leaping dynamically sideways on the beach, splashing small amount of sand. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`Homey and Mom do the side jump-reach. Small sand particles fly up when they land. Clean video, no text, Disney Pixar style.`"
16,1:45 - 1:52,7,MC-04,0:00 - 0:07,กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip) และซูมภาพ 150% เจาะเห็นตัวละครครึ่งตัวเพื่อดึงเสน่ห์รอยยิ้มแสนอ่อนหวานของแม่หมีออกมาเด่นชัด,1:05 สนุกจริงเอย แล้วเลยนอนเปล,แม่หมีและโฮมมี่ส่ายตัวหัวเราะอย่างมีความสุข ชูนิ้วโป้งให้กล้องท่ามกลางวิวคลื่นทะเลม้วนตัวเบาๆ,Medium Shot,Eye-level,"`Medium close-up shot of Mom the bear and Homey the monkey laughing, showing thumbs up on the beach. Bright friendly colors. Disney Pixar 3D animation style, octane render, smooth polished textures, soft shadows, 16:9 aspect ratio.`","`Homey and Mom shake hips and give thumbs up. Camera does a gentle push in. Clean video, no text, Disney Pixar style.`"
17,1:52 - 1:59,7,MC-04,0:03 - 0:10,"สโลว์ 0.8x, ย้อนฟิลเตอร์ส้มชมพู (Sunset) เพื่อส่งอารมณ์เข้าท่อนกล่อมเด็กนุ่มนวลอบอุ่น",1:08 ชะโอละเห่นอนเปลหลับไป / 1:12 ชะโอละเห่นอนเปลหลับไป,แม่หมีและน้องโฮมมี่เอียงคอนอนพิงฝ่ามือปิดตา โยกตัวไกวเปลตามจังหวะเสียงคลื่นและเสียงดนตรีช้าลง,Medium Shot,Eye-level,"`Medium shot of Mom the bear and Homey the monkey standing on the beach with eyes closed, hands under their faces, swaying to the side under sunset sky. Disney Pixar 3D animation style, octane render, smooth polished textures, warm colors, 16:9 aspect ratio.`","`Mom and Homey perform the slow sleep-sway motion under beautiful beach sunset glow. Clean video, no text, Disney Pixar style.`"
18,1:59 - 2:06,7,MC-03,0:00 - 0:07,กลับมาฉากทุ่งนา! ซูมเจาะ 140% โฟกัสไปที่เฟรมขวาถึงกลาง (focus on Homey & Granny) เพื่อดึงคุณยายเต่าผู้ใจดีมาเต้นเตาะแตะอย่างตลกกับหลาน,1:15 จับปูดำ ขยำปูนา (รอบที่ 5 - เพิ่มความเข้มข้น),คุณยายเต่า (Granny) ใส่แว่นตากลมโพกผ้าชมพูเข้ามาร่วมวง เต้นท่าก้ามปูดุ๊กดิ๊กกับน้องโฮมมี่ขี้เล่น,Medium Shot,Eye-level,"`Wide shot of Homey the monkey and Granny (the elderly turtle in a cream cardigan and round glasses) doing the crab-like dance on the path of the green paddy field. Disney Pixar 3D animation style, octane render, smooth polished textures, bright lighting, 16:9 aspect ratio.`","`Homey and Granny do the crab claw dance in sync. Granny does a slow but steady crab wiggle. Clean video, no text, Disney Pixar style.`"
19,2:06 - 2:13,7,MC-03,0:03 - 0:10,ใช้มุมกว้าง Wide 100% ปกติ เพื่อโชว์บรรยากาศทุ่งนาแบบเต็มตาและท่าก้าวกระโดดของคุณยายเต่าและโฮมมี่,1:18 จับปูม้า คว้าปูทะเล,คุณยายเต่ายกกระดองเต้นสลับเท้าขยับแขนเคียงคู่โฮมมี่ที่กระโดดโลดเต้นพลิ้วไหวรอบตัวคุณยาย,Wide Shot,Eye-level,"`Wide shot of Granny the turtle waving her hands and Homey the monkey jumping sideways in excitement on the green path. Disney Pixar 3D animation style, octane render, smooth polished textures, high detail, 16:9 aspect ratio.`","`Homey performs the side jump-reach while Granny wiggles her shell. Clean video, no text, Disney Pixar style.`"
20,2:13 - 2:20,7,MC-03,0:00 - 0:07,กลับด้านวิดีโอซ้าย-ขวา (Mirror/Flip) และซูม 140% เจาะเห็นคุณยายเต่าปรบมือหัวเราะอย่างเอ็นดูโฮมมี่ที่ชูสองมือชูนิ้วโป้งเต้นโยกเอว,1:22 สนุกจริงเอย แล้วเลยนอนเปล,คุณยายเต่าตบมือหัวเราะร่าเริงชื่นชมโฮมมี่ที่ส่ายเอวแกล้งทำตัวดุ๊กดิ๊กให้คุณยายดู,Medium Shot,Eye-level,"`Medium shot of Granny the turtle laughing and clapping next to Homey the monkey who is winking and giving thumbs up. Beautiful green grass. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Homey wiggles hips and gives thumbs up while Granny claps along. Clean video, no text, Disney Pixar style.`"
21,2:20 - 2:27,7,MC-03,0:03 - 0:10,"สโลว์ 0.8x, ย้อนสีส้มทองยามอัสดงอบอุ่นสบายใจไร้กังวล",1:25 ชะโอละเห่นอนเปลหลับไป / 1:29 ชะโอละเห่นอนเปลหลับไป,คุณยายเต่าและหลานโฮมมี่หลับตานิ่งซบมือเคียงข้างกัน โยกเยกกายไปมาอย่างช้าๆ กล่อมซึ่งกันและกัน,Medium Shot,Eye-level,"`Medium shot of Granny the turtle and Homey the monkey side-by-side closing eyes, smiling, head resting on their hands, swaying together in paddy field path. Disney Pixar 3D animation style, warm light, octane render, smooth polished textures, 16:9 aspect ratio.`","`Granny and Homey perform the slow sleep sway under comforting golden sunbeams. Clean video, no text, Disney Pixar style.`"
22,2:27 - 2:34,7,MC-04,0:00 - 0:07,ท่อนดนตรีรวมพลสุดคึกคัก! ใช้ภาพมุมกว้าง Wide Shot 100% ปกติริมชายหาด เพื่อแสดงแถวเต้นพร้อมหน้าของครอบครัวโฮมมี่และฝูงปูเต้นแบคอัพ,1:33 จับปูดำ ขยำปูนา (รอบที่ 6-8 เต้นรวมพลังทั้งครอบครัว),ทุกคนในครอบครัวโฮมมี่เต้นแถวหน้ากระดานริมชายหาด ท่าจับขยำปูอย่างพร้อมเพรียงและมีพลังความสนุกระดับสูงสุด,Wide Shot,Straight-on eye-level,"`Wide shot of the entire Homey Family (Homey the monkey, Dad the giraffe, Mom the bear, and Granny the turtle) standing in a line on the beach, all doing the crab claw hands dance. In the front, four cute crabs are dancing. Disney Pixar 3D animation style, octane render, smooth polished textures, bright festive lighting, 16:9 aspect ratio.`","`The entire group performs the crab dance in synchronization. The camera slowly dollies back to capture the grand family lineup. Clean video, no text, Disney Pixar style.`"
23,2:34 - 2:41,7,MC-04,0:03 - 0:10,กลับด้านวิดีโอ (Mirror/Flip) และปรับภาพมุมกว้าง 100% ต่อเนื่องเพื่อให้จับแรงส่งของจังหวะกระโดดคว้าของทุกคนได้อย่างตระการตา,1:36 จับปูม้า คว้าปูทะเล / 1:40 สนุกจริงเอย แล้วเลยนอนเปล,ทุกคนในครอบครัวกระโดดตัวลอยและยื่นแขนคว้าจับพร้อมกันตามจังหวะเพลงที่ขึ้นเร็วและเข้มข้นยิ่งขึ้น,Wide Shot,Slight low-angle,"`Wide shot from a low-angle of the Homey family jumping and reaching sideways in unison on the sandy beach. Bubbles and sparkles float around. Disney Pixar 3D animation style, octane render, smooth polished textures, dynamic action, 16:9 aspect ratio.`","`The entire group executes the side jump-reach in synchronization. Light sparkles pop in the air. Clean video, no text, Disney Pixar style.`"
24,2:41 - 2:48,7,MC-04,0:00 - 0:07,"สโลว์ 0.8x, ย้อนสีโทนม่วงชมพูพาสเทลชวนฝัน (Pastel Dream Filter) เพื่อเชื่อมโยงท่อนนอนเปลรวมของครอบครัวก่อนส่งเข้าบทนอนหลับจริง",1:44 ชะโอละเห่นอนเปลหลับไป / 1:48 ชะโอละเห่นอนเปลหลับไป,ทุกคนในครอบครัวหลับตานอนเอียงคอโยกกายไปมาเป็นระเบียบพร้อมกันอย่างแสนอบอุ่นน่ารัก,Wide Shot,Eye-level,"`Wide shot of the Homey family standing on the sunset beach side-by-side with eyes closed, head on hands, swaying like a rowing cradle in unison. Cozy warm atmosphere. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`The entire group performs the slow sleep-sway together. Camera pans slowly from left to right. Clean video, no text, Disney Pixar style.`"
25,2:48 - 2:55,7,MC-03,0:00 - 0:07,การตัดต่อภาพเชิงไดนามิกเร้าใจ! (Montage) โดยนำชิ้นส่วนความสนุกของ MC-03 และ MC-04 มาตัดต่อสลับอย่างรวดเร็ว (คัทละ 2 วินาที) ขยายสเต็ปการเต้นของโฮมมี่เดี่ยวสลับครอบครัว พร้อมใส่ Overlay แก๊งปูขยับขาเต้นระเบิดประกายสปาร์ก,1:52 - 2:46 [ท่อนหลัก 7-9 & ท่อนสร้อย 7-9 วนซ้ำดนตรีเข้มข้น],ภาพตัดต่อไฮไลท์การเต้นอย่างสนุกสนานล้นเหลือของโฮมมี่และครอบครัวสลับกันไปมาด้วยความตื่นเต้นมีพลัง,Montage (คัทสลับ),Multiple Angles,"`Montage sheet of Homey doing creative high-energy dances: sitting on Dad giraffe's shoulder, sliding down Mom bear's back, high-fiving a crab. Cheerful background colors. Disney Pixar 3D animation style, octane render, smooth polished textures, 16:9 aspect ratio.`","`Quick compilation of Homey doing fast tap-dances and spins. The family claps and cheers around him. Fast dynamic camera moves. Clean video, no text, Disney Pixar style.`"
26,2:55 - 3:01,6,MC-05,0:00 - 0:06,ตัดเข้าสู่ฉากห้องนอนคอทเทจยามค่ำคืน! ใช้ภาพมุมกว้าง Wide Shot 100% เพื่อแสดงบรรยากาศความสงบอบอุ่น ใส่เอฟเฟกต์แสงไฟนวลตาและประกายละอองแสงจันทร์ลอยละล่องช้าๆ,2:46 - 3:04 [ท่อนสร้อยสุดท้าย เริ่มเฟดเสียงเข้าสู่อารมณ์นอนหลับ],น้องโฮมมี่ตัวน้อยหาวนอนนอนอยู่ในเปลแกว่งไกว โดยมีคุณแม่หมีคอยโยกไกวเบาๆ พ่อยีราฟและคุณยายเต่าเฝ้ามองอย่างแสนอบอุ่นในห้องนอนคอทเทจยามดึก,Wide Shot,Eye-level,"`Medium wide shot of Homey the monkey sleeping inside a wooden cradle in a cozy cottage bedroom. Mom the bear gently rocks the cradle. Dad the giraffe and Granny the turtle stand close, smiling warmly. A window displays a glowing crescent moon in starry sky. Disney Pixar 3D animation style, octane render, smooth polished textures, cozy warm night lighting, 16:9 aspect ratio.`","`Mom's hand rocks the cradle slowly back and forth. Homey wiggles, snuggles into a blanket, and yawns. Dad and Granny nod softly. Camera slowly zooms in on the cradle. Clean video, no text, Disney Pixar style.`"
27,3:01 - 3:07,6,MC-05,0:04 - 0:10,"ซูม 140% (Close-up) โฟกัสไปที่เปลของโฮมมี่ที่นอนหลับสนิท ยิ้มแก้มชมพู แม่หมี, พ่อยีราฟ, และยายเต่า โบกมือลาช้าๆ ใส่เอฟเฟกต์เฟดดำปิดเรื่องช้าๆ (Fade out to black 6 วินาที)",3:04 - 3:07 [Outro] (ดนตรีค่อยๆ เงียบหายไป),น้องโฮมมี่หลับตานอนหลับปุ๋ยยิ้มแป้นอย่างมีความสุขที่สุด สมาชิกครอบครัวหันมายิ้มโบกมือลาช้าๆ ดนตรีค่อยๆ เงียบและแสงจางหายไป,Close-up,Slight high-angle,"`Medium close-up shot of Homey the monkey sleeping peacefully in his cradle with a happy soft smile. The family members are standing next to him, waving gently at the camera. Beautiful cozy shadow lighting. Disney Pixar 3D animation style, octane render, smooth polished textures, highly detailed, 16:9 aspect ratio.`","`The characters wave very slowly and smile warmly at the camera. The scene slowly fades to black over 6 seconds. Clean video, no text, Disney Pixar style.`"
