ซีนที่ (Scene No),ช่วงเวลา (Time),คิวเสียง (Lyric Cue),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location),ภาพเหตุการณ์ (Description),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ)
1,0:00 - 0:04,จ้านี่มีผักสีเขียวสดใส,Homey,Sunny Cozy Kitchen,น้องโฮมมี่ (Homey) นั่งอยู่หน้าจานสลัดผักใบเขียวใบโตในห้องครัว Sunny Cozy Kitchen ผักใบเขียวขยับตาโตและส่งยิ้มให้โฮมมี่,"Medium Close-up shot of Homey, a cute little monkey character Homey with soft light brown fur, wearing a cream and green striped shirt with beige linen overalls, sitting happily at a clean wooden dining table in the Sunny Cozy Kitchen. He looks with big, friendly eyes at a vibrant green salad bowl. A living green lettuce character with expressive big Pixar-style eyes smiles warmly back from the bowl. Warm golden sunlight streams through a large window, casting soft volumetric light and shadows. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on vegetables, highly detailed, 16:9 aspect ratio.","Slow camera push in (dolly in) towards Homey's face at a rate of 0.5 units/second. The living green lettuce character gently wiggles its leaves and blinks happily with subtle eye movement. Homey shows a subtle, excited smile developing on his face. No text, no subtitles, no words, clean video output."
2,0:04 - 0:08,บรอคโคลี่ต้นใหญ่เหมือนต้นไม้เลยนี่หน่า,"Homey, Brocc",Sunny Cozy Kitchen,โฮมมี่ยื่นหน้าเข้าไปดูพี่บรอก (Brocc) บรอกโคลีต้นโตแผ่กิ่งคล้ายต้นไม้ใหญ่สไตล์แฟนตาซีพิกซาร์ในห้องครัว Sunny Cozy Kitchen,"Medium Close-up shot of Homey, with an expression of wide-eyed amazement, leaning in to observe Brocc. Brocc is a living broccoli character, completely green with fluffy dark green florets on top and a smooth vibrant green stem for its body, smiling gently with its Pixar-style eyes. The setting is the Sunny Cozy Kitchen. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on Brocc, highly detailed, 16:9 aspect ratio.","Camera tilts smoothly down (tilt rate 0.5 degrees/second) from Brocc's smiling leafy top to Homey's excited, wide-open eyes. Brocc exhibits gentle swaying movements, as if a gentle breeze is passing, and blinks once warmly. No text, no subtitles, no words, clean video output."
3,0:08 - 0:12,หยิบเข้าปาก กร้วมๆ,"Homey, Brocc",Sunny Cozy Kitchen,โฮมมี่หยิบพี่บรอกเข้าปากเคี้ยว,"Medium shot of Homey, a cute little monkey character, joyfully taking a bite of a green broccoli floret, with visibly puffed cheeks, a wide, delighted smile on his face. The background is a softly blurred Sunny Cozy Kitchen. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Smooth close-up tracking shot on Homey's face as he performs an exaggerated, joyful chewing action, his cheeks puffing in and out realistically. No text, no subtitles, no words, clean video output."
4,0:12 - 0:15,หวานกรอบนักหนา,Homey,Sunny Cozy Kitchen,แสงดวงดาวสีเขียวแวววาวกระจายออกจากปากโฮมมี่ขณะเคี้ยว แก้มตุ้ยยิ้มแย้มเคี้ยวสนุก,"Medium Close-up shot of Homey, a cute little monkey character, with a wide, delighted smile, with sparkling green magical stars emitting with a radiant glow from his mouth as he joyfully chews. His cheeks are full. The background is a softly blurred Sunny Cozy Kitchen. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Magical sparkles burst outwards with dreamy glowing trails and subtle lens flares, originating from Homey's mouth. His cheeks puff in and out with each chew. No text, no subtitles, no words, clean video output."
5,0:15 - 0:19,โอ้โห พลังมา,Homey,Sunny Cozy Kitchen,ตัวของโฮมมี่เกิดออร่าสีเขียวเรืองแสงสว่างวาบ เบ่งออมพลังพลังงานพัดใบผมปลิวไสว,"Action shot of Homey, posing in a cute heroic stance, surrounded by a vibrant, pulsating green aura of raw energy. His fluffy brown hair is dramatically blowing upwards due to the energy, and his big eyes shine brightly with newfound power. The Sunny Cozy Kitchen environment is in the background, slightly distorted by the energy. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Fast camera push in (dolly in at 1.5 units/second), coinciding with the green energy aura sweeping rapidly across the room like a gentle shockwave, distorting the air. Homey's hair and clothes are simulated with dynamic physics, fluttering dramatically upwards as the aura expands. No text, no subtitles, no words, clean video output."
6,0:19 - 0:23,กระโดด ดึ๋งดึ๋งดึ๋งขึ้นไปบนฟ้า,Homey,Dreamy Pastel Sky,โฮมมี่ถีบตัวกระโดดเด้งดึ๋ง ทะลุหน้าต่างกระจกหลังคาลอยขึ้นไปบนท้องฟ้าพาสเทลสีสวยงาม Dreamy Pastel Sky,"Dynamic wide shot of Homey, mid-jump, powerfully soaring high into the beautiful Dreamy Pastel Sky, leaving a sparkling trail of green stars behind him. Fluffy clouds shaped like pink and purple cotton candy surround him, creating a whimsical and magical atmosphere. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Fast vertical camera pan upward (pan rate 15 degrees/second) tracking Homey's rapid ascent into the sky, smoothly transitioning to a slow-motion float as he reaches the clouds. The green sparkle trail follows with a subtle motion blur effect. No text, no subtitles, no words, clean video output."
7,0:23 - 0:27,เขียวๆ เขียวๆ,Homey,Dreamy Pastel Sky,โฮมมี่เด้งข้ามปุยเมฆที่มีลักษณะคล้ายใบผักสลัดสีเขียวขนาดใหญ่กลางอากาศอย่างร่าเริงกลางอากาศพาสเทล,"Medium-wide shot of Homey, laughing joyfully, playing and bouncing on giant green clouds that are clearly shaped like oversized lettuce leaves, high in the Dreamy Pastel Sky. The atmosphere is soft and filled with beautiful pink and purple pastel hues. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on clouds, highly detailed, 16:9 aspect ratio.","Slow-motion camera tracking (dolly tracking at 0.3 units/second) Homey as he gracefully leaps from one giant green cloud to another, exhibiting playful laughter and a sense of weightlessness. The cloud-leaves show gentle bounce physics upon his landing, with subtle dust-like particles emanating. No text, no subtitles, no words, clean video output."
8,0:27 - 0:30,ผักใบเขียว กรุบกรอบ,Homey,Dreamy Pastel Sky,โฮมมี่หัวเราะสนุกสนานต่อเนื่องขณะเล่นอยู่บนปุยเมฆผักใบเขียว,"Close-up shot of Homey, with a wide joyful laugh, surrounded by fluffy green cloud-leaves in the Dreamy Pastel Sky. His eyes are sparkling with happiness. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Homey's head tilts playfully with laughter, and small, shimmering particles drift gently around him. His expression of joy is palpable. No text, no subtitles, no words, clean video output."
9,0:30 - 0:34,สีแดง สีส้ม ม่ำๆๆๆ อั้ม,"Homey, Tommy, Sweetie",Dreamy Pastel Sky,น้องทอมมี่ (Tommy) และสวีทตี้ (Sweetie) ลอยตัวบินหมุนไปรอบๆ โฮมมี่งับกินดวงแสงพลังงานผักใน Dreamy Pastel Sky,"Action shot of Homey floating effortlessly in the Dreamy Pastel Sky, with a determined yet joyful expression, actively catching and eating glowing red and orange energy spheres. Tommy the cute red tomato and Sweetie the orange bell pepper character are playfully flying and orbiting around him, generating these energy spheres. Beautiful shockwaves of red and orange light ripple ethereally through the surrounding cotton candy clouds. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Orbiting camera movement (rate 45 degrees/second), capturing the dynamic scene as beautiful shockwaves of red and orange light ripple through the clouds. Homey performs quick, satisfying bite animations on the energy spheres, while Tommy and Sweetie perform agile flying maneuvers. No text, no subtitles, no words, clean video output."
10,0:34 - 0:37,อั้ม มีพลัง,Homey,Dreamy Pastel Sky,มีออร่าสีแดงและส้มแผ่ซ่านทั่วตัวโฮมมี่ในท้องฟ้า,"Close-up shot of Homey's face glowing with vibrant red and orange energy, his eyes shining brightly. An intense red and orange energy aura pulsates around his body, with visible light ripples through the surrounding Dreamy Pastel Sky clouds. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","The energy aura around Homey pulsates and intensifies, causing subtle distortions in the air around him. Homey's eyes sparkle with newfound power. No text, no subtitles, no words, clean video output."
11,0:37 - 0:41,พริกหวานสีส้ม สีสันเตะตา,Sweetie,Cosmic Rainbow Track,ภาพตัดมาที่ลู่วิ่ง Cosmic Rainbow Track โฮมมี่ลงจอดอย่างเท่ สวีทตี้ (Sweetie) พริกหวานส้มติดเจ็ทไอพ่นยืนโพสท่าท้าทายอยู่ตรงหน้า,"Medium shot of Sweetie, the cute, sleek orange bell pepper character wearing tiny aviator goggles, striking a cool and confident racer pose on the glowing Cosmic Rainbow Track. Intense electric orange sparks are emanating and swirling around its tiny jet thrusters, highlighting its readiness to race. The cosmic nebula background is in soft focus. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Low-angle camera performs a quick reveal (dolly up 0.5 units/second in 1 second) of Sweetie, with distinct heat haze effects emanating from its tiny jet thrusters. Sweetie performs a subtle, confident nod and a small vibration, indicating engine readiness. No text, no subtitles, no words, clean video output."
12,0:41 - 0:45,มะเขือเทศสีแดงจ๋า กลมๆ หวานชื่นใจ,"Homey, Tommy",Cosmic Rainbow Track,น้องทอมมี่ (Tommy) มะเขือเทศแดงกลิ้งตามมาติดๆ โฮมมี่หยิบกินแล้วแก้มแดงขึ้นมาทันที ยิ้มแป้นด้วยความกระปรี้กระเปร่า,"Close-up shot of Homey, with big, delighted eyes closed, popping a perfectly fresh, vibrant red Tommy the tomato character into his mouth. His cheeks instantly glow with a bright red color, signifying a rush of energy. The background shows a softly blurred Cosmic Rainbow Track. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on tomato, highly detailed, 16:9 aspect ratio.","Macro camera zoom (0.5x zoom factor in 2 seconds) on Homey's face, meticulously capturing the red blush spreading over his cheeks with a magic gleam effect. Homey's eyes open wide with a satisfied grin, his expression radiating immediate invigoration. No text, no subtitles, no words, clean video output."
13,0:45 - 0:49,หยิบเข้าปาก ง่ำๆๆ,Homey,Cosmic Rainbow Track,โฮมมี่เคี้ยวพริกหวานและมะเขือเทศเสียงดังง่ำๆ มีพลังสีส้มหมุนพัดรอบเท้าเป็นทอร์นาโดความเร็วสูง,"Action shot of Homey, with a determined and happy expression, actively chewing on the Cosmic Rainbow Track. A powerful whirlwind of glowing orange and red cosmic dust swirls dynamically around his futuristic sneakers, signifying immense power. The background shows the vibrant space nebula in motion blur. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Dynamic camera rotation (barrel roll effect, 45 degrees over 4 seconds) as intense wind and light particles swirl rapidly around Homey's feet, building speed with subtle motion blur. Homey performs exaggerated, energetic chewing motions, his cheeks puffing with each bite. No text, no subtitles, no words, clean video output."
14,0:49 - 0:52,อร่อยกว่าใคร,Homey,Cosmic Rainbow Track,โฮมมี่ก้มตัวเตรียมพร้อมวิ่ง รองเท้าผ้าใบเรืองแสงออร่าสีส้มเจิดจ้า มีเปลวไฟไอพ่นพุ่งออกด้านหลัง,"Close-up shot of Homey's highly detailed sneakers planted firmly on the Cosmic Rainbow Track, glowing with intense orange light and emitting powerful jet exhaust flames from the heels. His body is subtly blurred in the background, bracing for a powerful takeoff. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Dramatic slow-motion zoom (0.8x zoom factor in 3 seconds) on the foot lock-on, capturing sparks flying and subtle ground vibration as Homey braces for takeoff. The jet exhaust flames visibly intensify and flicker. No text, no subtitles, no words, clean video output."
15,0:52 - 0:56,ว้าว พลังเล่นไว,Homey,Cosmic Rainbow Track,โฮมมี่สับเท้าวิ่งพุ่งทะยานไปด้วยความเร็วแสงบน Cosmic Rainbow Track ทิ้งเส้นนำสายตาสีส้มแดงตัดอวกาศ,"Wide action shot of Homey sprinting at lightspeed on the Cosmic Rainbow Track, appearing as a dynamic blur of motion. The background consists of heavily blurred stars and nebulae, streaking past like a fast race car. He leaves behind vibrant energy trails of orange and red, cutting through the cosmic expanse. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, extreme motion blur, highly detailed, 16:9 aspect ratio.","Fast whip-pan tracking shot (pan rate 40 degrees/second) keeping precise pace with Homey as he zooms across the screen. Stars streak past with extreme motion blur, emphasizing his speed. Homey's body position dynamically shifts, showing wind effects on his hair and clothes. No text, no subtitles, no words, clean video output."
16,0:56 - 1:00,วิ่งเร็ว ฟิ้วๆ เหมือนจรวดเลยไง,Homey,Cosmic Rainbow Track,โฮมมี่สับเท้าวิ่งพุ่งทะยานไปด้วยความเร็วแสงบน Cosmic Rainbow Track ทิ้งเส้นนำสายตาสีส้มแดงตัดอวกาศเหมือนจรวดพุ่ง,"Wide action shot of Homey sprinting at lightspeed on the Cosmic Rainbow Track, appearing as a dynamic blur of motion, specifically designed to evoke the imagery of a powerful rocket. The background consists of heavily blurred stars and nebulae, streaking past. He leaves behind vibrant energy trails of orange and red, cutting through the cosmic expanse like a jet stream. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, extreme motion blur, highly detailed, 16:9 aspect ratio.","Fast whip-pan tracking shot (pan rate 40 degrees/second) keeping precise pace with Homey as he zooms across the screen. Stars streak past with extreme motion blur, emphasizing his rocket-like speed. Homey's body position dynamically shifts, showing intense wind effects on his hair and clothes. No text, no subtitles, no words, clean video output."
17,1:00 - 1:04,เขียวๆ เขียวๆ,"Homey, Brocc",Cosmic Rainbow Track,โฮมมี่วิ่งผ่านเพื่อนผักใบเขียวโบกไม้โบกมือ แตะมือ High-five กับพี่บรอก (Brocc) ที่กิ่งไม้สีเขียวยื่นมาริมทางวิ่ง,"Medium tracking shot of Homey, running energetically on the Cosmic Rainbow Track, high-fiving Brocc the friendly green broccoli character. Brocc's green stem-arm extends from the side of the track, offering a cheerful high-five. Both characters have happy, energetic facial expressions. The background shows a blurred cosmic environment. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on Brocc, highly detailed, 16:9 aspect ratio.","Camera slides backward in front of Homey (dolly back at 1.0 units/second), capturing the slap-hand slow-motion impact with bursts of green light particles and a subtle auditory cue. Homey maintains his running stride, while Brocc's arm gently retracts. No text, no subtitles, no words, clean video output."
