ซีนที่ (Scene No),ช่วงเวลา (Time),คิวเสียง (Lyric Cue),ตัวละครในซีน (Characters),สถานที่ถ่ายทำ (Location),ภาพเหตุการณ์ (Description),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ)
18,1:04 - 1:07,ผักใบเขียว กรุบกรอบ,Homey,Cosmic Rainbow Track,โฮมมี่วิ่งผ่านทุ่งผักใบเขียวเรืองแสงที่โฮมมี่วิ่งผ่านอย่างรวดเร็ว ผักแต่ละต้นยิ้มและโบกใบทักทาย,"Wide tracking shot of Homey, running at high speed on the Cosmic Rainbow Track, passing through a magical field of glowing green leafy vegetables. Each vegetable has a friendly face and gently waves its leaves at Homey as he passes. The background shows extreme motion blur. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Fast horizontal camera pan (pan rate 30 degrees/second) tracking Homey as he streaks past the field of green vegetables. The vegetables subtly animate with waving leaves and blinking eyes as he passes. No text, no subtitles, no words, clean video output."
19,1:07 - 1:11,สีแดง สีส้ม ม่ำๆๆๆ อั้ม,Homey,Cosmic Rainbow Track,โฮมมี่โหนรางวิ่งเลี้ยวโค้งลอยตัวคว้าลูกบอลผักสีแดงและส้มหม่ำอย่างรวดเร็ว,"Epic action shot of Homey mid-air, in a graceful yet powerful pose, swallowing vibrant glowing red and orange vitamin spheres. The background shows the Cosmic Rainbow Track curving dramatically through a beautiful nebula. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.","Dramatic bullet-time slow motion camera rotates 180 degrees (rate 45 degrees/second) around Homey as he glows brightly. Rippling energy fields emanate from his body, creating a subtle distortion effect. Homey's actions of catching and eating the vitamins are fluid and precise. No text, no subtitles, no words, clean video output."
20,1:11 - 1:14,อั้ม มีพลัง,Homey,Sunny Cozy Kitchen,ออร่าร่างกายโฮมมี่โตสว่างขยายใหญ่ขึ้นขณะกินลูกบอลผักสีแดงและส้ม,"Close-up shot of Homey's body radiating powerful golden light grid lines, expanding and pulsating with energy after eating vitamin spheres. His expression is one of immense satisfaction and power. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.","The golden light grid lines visibly expand and contract, pulsing with energy. Homey's body subtly grows slightly in size, conveying a surge of power. No text, no subtitles, no words, clean video output."
21,1:14 - 1:18,ข้าวโพดสีเหลืองเม็ดเรียงสวยงาม,Poppy,Cosmic Rainbow Track,ป๊อปปี้ (Poppy) ข้าวโพดขยับได้ โยกตัวเต้นรำอวดฝักเม็ดเหลืองเรียงสวยเป็นระเบียบยิ้มแป้นยิงฟันเงาวับ,"Close-up shot of Poppy, the happy corn-on-the-cob character, enthusiastically smiling with perfectly clean white teeth, showing off its shiny, beautifully yellow kernels arranged in neat rows on the Cosmic Rainbow Track. Its green husk acts like a jacket. The background is softly blurred. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on kernels, highly detailed, 16:9 aspect ratio.","Slight camera shake and wobble (frequency 2Hz, amplitude 0.05 units) matching Poppy's energetic dance beats. Poppy performs playful swaying and hip-shaking movements, its husk jacket subtly jiggling, with its teeth sparkling brightly. No text, no subtitles, no words, clean video output."
22,1:18 - 1:22,ฟักทองรสหวานชิมแล้วติดใจ,"Homey, Pumpk",Playful Front Yard,พี่พัมก์ (Pumpk) ฟักทองพี่ใหญ่มัดผ้าพันคอเต้นหมุนตัว โฮมมี่ใช้ช้อนไม้ตักชิมฟักทองนึ่งชิ้นหวาน,"Medium shot of Homey, with a look of warm satisfaction, tasting a small, perfectly steamed pumpkin slice with a delicate wooden spoon. Pumpk, the extremely fat, round, and friendly pumpkin character, wearing its green knitted scarf, smiles warmly next to him, subtly swaying. The setting is a Playful Front Yard setting with soft, warm lighting. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, subsurface scattering on Pumpk, highly detailed, 16:9 aspect ratio.","Camera focuses on the spoon as it enters Homey's mouth (depth of field shift), then pans smoothly up to Homey's face (pan rate 1 degree/second) showing his warm, satisfied smile. A gentle steam effect rises from the pumpkin slice. Pumpk performs a subtle, contented full body wiggle. No text, no subtitles, no words, clean video output."
23,1:22 - 1:26,หยิบเข้าปาก ง่ำๆๆ,"Homey, Pumpk",Sunny Cozy Kitchen,โฮมมี่กวาดข้าวโพดและฟักทองใส่ปากเคี้ยวสนุกสนาน,"Medium shot of Homey, holding a gleaming golden spoon, joyfully chewing with his cheeks full of corn and pumpkin. He is surrounded by floating yellow sparkles and the smiling figure of Pumpk the fat pumpkin. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.","Camera pushes in slowly (dolly in at 0.2 units/second), with light glimmers softly dancing on Homey's face as the golden glow around him intensifies with subtle pulsations. Homey's chewing motions are exaggerated and joyful, his entire body conveying delight. No text, no subtitles, no words, clean video output."
24,1:26 - 1:29,เคี้ยวเพลินกว่าใคร,Homey,Sunny Cozy Kitchen,ออร่าสีทองสว่างวาบรอบตัวโฮมมี่อบอุ่นและเปล่งประกายมากขึ้นขณะเคี้ยว,"Close-up shot of Homey's face, smiling broadly with puffed cheeks while chewing. An intense, warm golden aura radiates and brightens around his head and shoulders, with numerous sparkling yellow particles floating upwards. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","The golden aura around Homey intensifies rapidly with a beautiful shimmer effect. Homey's eyes sparkle happily, and his smile widens, conveying extreme satisfaction. No text, no subtitles, no words, clean video output."
25,1:29 - 1:33,ว้าว พลังยิ่งใหญ่,Homey,Playful Front Yard,โฮมมี่ลงสู่ลานสนามหญ้า Playful Front Yard ทำท่าเบ่งกล้าม ออร่าสีทองระเบิดวูบแผ่รอบตัวดุดันและน่ารัก,"Heroic extreme low-angle shot of Homey landing gracefully in the lush green Playful Front Yard, immediately flexing his tiny arms into a cute but powerful muscle pose. A bright golden energy aura dramatically radiates and explodes from his body, creating volumetric light rays and dynamic sparks. His expression is a determined, adorable grin. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Camera drops down to an extreme low angle (dolly down 0.5 units/second) and performs a dynamic shake (frequency 5Hz, amplitude 0.08 units) to emphasize the impact of his power landing. The golden aura rapidly expands and contracts with subtle light distortion effects. No text, no subtitles, no words, clean video output."
26,1:33 - 1:37,แข็งแรง ฮึบๆ ยกของหนักได้สบาย,Homey,Playful Front Yard,โฮมมี่ใช้นิ้วชี้ข้างเดียวยกเปียโนหลังใหญ่ยักษ์ขึ้นเหนือหัว หน้าตายิ้มกริ่มขี้เล่นไม่รู้สึกหนักสักนิด,"Full shot of Homey, a small but incredibly strong monkey character, effortlessly lifting a massive, heavy, polished wooden grand piano overhead with just one index finger. He maintains a playful, cheeky grin, showing no signs of strain. The background features the charming white picket fence and lush green grass of the Playful Front Yard. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Slow tilt up (tilt rate 0.5 degrees/second) from Homey's tiny feet on the grass to the giant piano floating steadily above his head. The piano shows a subtle, whimsical jiggle, and Homey's clothes exhibit gentle wind physics from the ""effortless"" lift. No text, no subtitles, no words, clean video output."
27,1:37 - 1:40,เอ๋,Homey,Playful Front Yard,โฮมมี่วางเปียโนลงอย่างนุ่มนวลและหันหน้ามามองกล้องด้วยท่าทางสงสัย,"Medium Close-up shot of Homey in the Playful Front Yard, looking at the camera with a curious, slightly puzzled expression, tilting his head slightly. The giant piano is gently lowered out of frame. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Homey's head tilts playfully with a small, questioning blink. His body language expresses light curiosity. No text, no subtitles, no words, clean video output."
28,1:40 - 1:44,ว่าแต่เพื่อนๆ คนเก่งทางบ้านล่ะจ๊ะ,Homey,Playful Front Yard,โฮมมี่วิ่งเข้ามากึ่งโคลสอัพหน้ากล้อง เอามือป้องปากชะโงกหน้ากระพริบตาถามอย่างเป็นมิตร,"Close-up shot of Homey in the Playful Front Yard, leaning playfully forward towards the camera. He cups his hand around his mouth in a friendly, inquisitive gesture, winking with a curious, cheeky smile. The background is softly blurred. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Handheld camera style, with a smooth camera push-in (dolly in at 0.4 units/second) closer to Homey's face as he winks at the viewer, complete with a subtle star sparkle gleam in his eye. His head tilts playfully as he asks the question, with soft blinks. No text, no subtitles, no words, clean video output."
29,1:44 - 1:47,เด็กๆ ชอบผักสีอะไรเอ่ย,"Homey, Brocc",Playful Front Yard,มีกราฟฟิกการ์ตูนรูปผักหลากสี (เขียว แดง เหลือง ส้ม) ลอยเด้งขึ้นรอบใบหน้าโฮมมี่ที่เอียงคอทำท่านึกคิด,"Close-up shot of Homey, with a thoughtful and curious expression, tilting his head slightly in the Playful Front Yard setting. Cute animated 3D icons of vibrant green broccoli, juicy red tomatoes, sunny yellow corn, and bright orange bell peppers float and bounce playfully around his head. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","The veggie icons bounce up and down softly around Homey's head (frequency 1.5Hz, amplitude 0.05 units), while the camera performs a gentle clockwise roll (rotation 5 degrees/second). Homey's head tilts playfully from side to side, indicating deep thought. No text, no subtitles, no words, clean video output."
30,1:47 - 1:51,อู้หู หน้าอร่อยทั้งนั้นเลย ม่ำๆๆ,"Homey, Brocc, Pumpk",Playful Front Yard,โฮมมี่กางแขนผายมือ มีผลไม้และผักยักษ์หลากหลายชนิดลอยตกลงมารอบๆ สนามหญ้าหน้าบ้าน ชวนทุกคนร่วมงานเลี้ยง,"Wide shot of the Playful Front Yard, as a magical rain of giant, cute, and colorful vegetables (including broccoli, tomatoes, bell peppers, corn, pumpkins) softly falls onto the lush green lawn. Homey stands in the foreground, welcoming the viewer with wide open arms and an inviting smile, gesturing to the bountiful feast. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Camera cranes up slowly (crane up 0.2 units/second), capturing the colorful rain of vegetables falling in slow-motion with subtle bounce physics upon landing and gentle light trails. Homey performs a wide, welcoming gesture with his arms, his body language inviting participation. No text, no subtitles, no words, clean video output."
31,1:51 - 1:54,เติมพลังด้วยกันนะ,Homey,Playful Front Yard,โฮมมี่หันมาทางกล้องพร้อมรอยยิ้มกว้างและพยักหน้าอย่างอบอุ่น เชื้อเชิญทุกคนให้ร่วมทานผัก,"Close-up shot of Homey smiling warmly at the camera, with a gentle, inviting nod. His expression is friendly and encouraging, with a hint of playful mischief. The Playful Front Yard is blurred softly in the background. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Homey performs a slow, encouraging nod and a soft, genuine smile, with a subtle twinkle in his eye, emphasizing his friendly invitation. No text, no subtitles, no words, clean video output."
32,1:54 - 1:58,เขียวๆ เขียวๆ ผักใบเขียว กรุบกรอบ,"Homey, Brocc, เด็กๆ",Playful Front Yard,เด็กๆ คนอื่นๆ วิ่งเข้ามานั่งล้อมโต๊ะปิกนิกใน Playful Front Yard ร่วมทานผักใบเขียวกรอบกับโฮมมี่และพี่บรอก (Brocc),"Medium shot of several diverse, happy children sitting joyfully around a rustic wooden picnic table in the vibrant Playful Front Yard, enthusiastically eating fresh green vegetables. Homey and Brocc the cheerful green broccoli character are seated amongst them, participating in the meal. The scene is bathed in warm afternoon sunlight. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Horizontal camera pan (pan rate 2 degrees/second) across the happy faces at the picnic table, capturing the children's joyful chewing actions and subtle, cheerful conversation. Brocc performs gentle swaying movements, acknowledging the children. No text, no subtitles, no words, clean video output."
33,1:58 - 2:02,สีแดง สีส้ม ม่ำๆๆๆ อั้ม อั้ม มีพลัง,"Homey, เด็กๆ",Playful Front Yard,เด็กๆ เคี้ยวผลไม้และผักสีแดงส้ม เกิดคลื่นพลังสีส้มแดงกระจายกอดวงกลม โฮมมี่กระโดดกอดคอเพื่อนๆ ใน Playful Front Yard,"Group shot of Homey and his diverse friends, all laughing and embracing each other on the lush green grass of the Playful Front Yard. As they chew, a circular wave of vibrant orange and red energy subtly radiates outwards from their hug. The scene is beautifully illuminated by a warm golden sunset. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, volumetric lighting, highly detailed, 16:9 aspect ratio.","Camera does a slow pull-back (dolly back 0.3 units/second) from a medium group hug to a wide view of the garden under the sunset. The orange and red energy waves visibly spread in a gentle, pulsing circle. Homey and his friends perform joyful, animated embraces, their expressions radiating happiness. No text, no subtitles, no words, clean video output."
34,2:02 - 2:07,กินผักทุกวันร่างกายแข็งแรง / กินผักหลากสีสนุกจังเลย / ผักมีพลังวิเศษจริงๆ ด้วย,"Homey, Brocc, Pumpk, เด็กๆ",Playful Front Yard,โฮมมี่และเด็กๆ ยืนเกาะกลุ่มเบ่งกล้ามโชว์ความแข็งแรงร่วมกับแก๊งผักมีชีวิต แสงแดดยามเย็นทอประกายขอบสีทองสลัว,"Medium group shot of Homey, several diverse children, and the living vegetable characters Brocc (broccoli) and Pumpk (pumpkin) standing proudly together in the Playful Front Yard. They are all flexing their muscles in a cute, determined display of strength, celebrating their health and the joy of colorful vegetables. The scene is bathed in a beautiful, soft golden-rimmed evening light. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Slow tilt-up camera tracking (tilt rate 0.5 degrees/second) from their sneakers to their cute, flexing poses. Homey and friends perform synchronized muscle flexes with subtle muscle jiggle, and Brocc and Pumpk wiggle their bodies in agreement. No text, no subtitles, no words, clean video output."
35,2:07 - 2:27,มาลองผักกันทุกวันเลยนะ เย้,"Homey, เด็กๆ",Playful Front Yard,"ทุกคนโยนผักขึ้นฟ้า ตะโกนเย้แล้วกระโดดลอยตัวพร้อมกัน กล้องดึงถอยหลังเห็นภาพทิวทัศน์บ้านสวนแสนสุขในชนบทภายใต้ท้องฟ้ายามค่ำคืนที่มีดาวพร่างพราย แล้วภาพค่อยๆ จางเป็นสีดำพร้อมโลโก้ ""Homey Family"" โทนสีทองเรืองแสงฟุ้งปรากฏขึ้นอย่างหรูหราก่อนจะดับลง","Extreme wide shot of a charming cottage house nestled in the Playful Front Yard, under a beautiful starry evening sky. All characters, including Homey, his friends, and the living vegetables, are captured mid-air, jumping together and joyfully yelling ""Yay!"". Vegetables are tossed upwards, creating a colorful arc. The camera perspective is a grand pull-back, revealing the entire peaceful countryside valley at twilight. This transitions to a beautiful, intricate glowing gold logo of ""Homey Family"" elegantly fading in on a dark, luxurious velvet background. Volumetric light rays emanate from the text, creating a soft, ethereal halo. Disney Pixar 3D animation style, 3D character design, clay rendering, octane render, smooth textures, highly detailed, 16:9 aspect ratio.","Grand camera pull-back and crane up (dolly back and crane up at 0.5 units/second), moving gracefully away from the yard to show the entire peaceful countryside valley at twilight. All characters jump in mid-air with exaggerated hang time, yelling ""Yay!"" in unison. Colorful veggie particles float upwards with subtle sparkle trails. Then, the scene slowly fades to black over 5 seconds. Subsequently, the ""Homey Family"" logo text sparkles with a subtle light ray animation, slowly fading from fully visible to black over 8 seconds as the last musical note gracefully ends. A subtle ethereal shimmer gently dissipates around the logo before darkness. No text, no subtitles, no words, clean video output."
