ซีนที่ (Scene No),ช่วงเวลา (Time),ความยาว (Duration),คิวเสียง (Lyric Cue),ภาพเหตุการณ์ (Description),ประเภทช็อต (Shot Type),มุมกล้อง (Camera Angle),การจัดแสง (Lighting),Photo Prompt (เจนภาพ),Motion Prompt (เจนวิดีโอ)
1,0:00 - 0:06,6,(ดนตรีอินโทร),"ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย เดินไปที่ตรงกลางฉาก แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้",Wide Shot,Eye-level,Clean studio lighting.,"`A happy family of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run energetically into the frame from the left, pause briefly in the center, and then run out to the right, leaving the screen blank white. Smooth, dynamic movement.`"
2,0:06 - 0:12,6,ตื่นขึ้นมาในตอนเช้า ยิ้มรับวันใหม่,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย ยืดแขนยืดขาบิดขี้เกียจด้วยรอยยิ้มแฉ่งรับวันใหม่ตรงกลางฉาก แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A small monkey cub named น้องโฮมมี่ (Homey) waking up and stretching with a bright smile, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, performs a cheerful stretch and yawn with a big smile in the center, and then runs out to the right, leaving the screen blank white. Energetic and happy movement.`"
3,0:12 - 0:18,6,มีความสุขอยู่รอบกายในบ้านของเรา,ฉากขาวว่างเปล่า แม่หมี (Mom) วิ่งเข้ามาในฉากจากทางซ้าย ถือแจกันและจัดดอกไม้ด้วยรอยยิ้มหวานตรงกลางฉาก แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A kind bear mother named แม่หมี (Mom) arranging flowers, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`แม่หมี (Mom) runs into the frame from the left, gracefully arranges flowers in a vase in the center with a gentle smile, and then runs out to the right, leaving the screen blank white. Calm and elegant movement.`"
4,0:18 - 0:24,6,เรื่องสนุกมีมากมาย รอให้เราไปเรียนรู้,ฉากขาวว่างเปล่า พ่อยีราฟ (Dad) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย พ่อยีราฟอ่านหนังสือเล่มใหญ่ให้คุณยายเต่าฟังตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A giraffe father named พ่อยีราฟ (Dad) reading to a turtle grandmother named คุณยายเต่า (Granny), running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`พ่อยีราฟ (Dad) and คุณยายเต่า (Granny) run into the frame from the left. In the center, พ่อยีราฟ (Dad) reads a book to คุณยายเต่า (Granny) who listens attentively. They then run out to the right, leaving the screen blank white. Gentle and engaging interaction.`"
5,0:24 - 0:30,6,มาสิมา มาดูไปด้วยกัน,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย ทำท่าทางโบกมือชวนให้พ่อยีราฟ (Dad) และ คุณยายเต่า (Granny) เข้ามารวมกัน แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Close-up,Low-angle,Clean studio lighting.,"`A playful monkey cub named น้องโฮมมี่ (Homey) running into the frame from the left, gesturing excitedly on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, excitedly gestures and beckons towards the center where พ่อยีราฟ (Dad) and คุณยายเต่า (Granny) are, then runs out to the right, leaving the screen blank white. Lively and inviting movement.`"
6,0:30 - 0:36,6,จับมือไว้แล้วก้าวไป,ฉากขาวว่างเปล่า พ่อยีราฟ (Dad) วิ่งเข้ามาในฉากจากทางซ้าย ยื่นมือออกไปให้น้องโฮมมี่ (Homey) จับ แล้ววิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Close-up,Eye-level,Clean studio lighting.,"`Close-up of a giraffe father's hand named พ่อยีราฟ (Dad) reaching out, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`พ่อยีราฟ (Dad) runs into the frame from the left, extends his large, gentle hand in the center as if to offer it, and then runs out to the right, leaving the screen blank white. Focus on the gesture of connection.`"
7,0:36 - 0:42,6,พร้อมหรือยังจะลุยไปกับพวกเรา,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย จับมือพ่อยีราฟ (Dad) แล้วกระโดดโลดเต้นอย่างดีใจตรงกลางฉาก จากนั้นทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A happy monkey cub named น้องโฮมมี่ (Homey) holding a giraffe father's hand and jumping with joy, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, grabs พ่อยีราฟ (Dad)'s outstretched hand in the center and jumps up and down with excitement, then runs out to the right, leaving the screen blank white. Exuberant and joyful movement.`"
8,0:42 - 0:48,6,โอ้ เพลงโฮมมี่แฟมิลี่(Theme Song),"ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย ยืนเรียงรวมกันกลางฉากพร้อมส่งรอยยิ้มอบอุ่น แล้วทั้งหมดก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family) consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) standing together happily, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`The entire เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), including น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), run into the frame from the left. They gather in the center, smiling warmly at each other, and then run out to the right, leaving the screen blank white. Unified and heartwarming movement.`"
9,0:48 - 0:54,6,ครอบครัวแสนอบอุ่นที่พร้อมจะแบ่งปัน,ฉากขาวว่างเปล่า แม่หมี (Mom) วิ่งเข้ามาในฉากจากทางซ้าย ยื่นตะกร้าผลไม้แบ่งปันให้คุณยายเต่า (Granny) ตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Close-up,Eye-level,Clean studio lighting.,"`A bear mother named แม่หมี (Mom) offering a fruit basket to a turtle grandmother named คุณยายเต่า (Granny), running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`แม่หมี (Mom) runs into the frame from the left, gently offers a fruit basket to คุณยายเต่า (Granny) in the center, who accepts it with a smile. แม่หมี (Mom) then runs out to the right, leaving the screen blank white. Kind and sharing gesture.`"
10,0:54 - 1:00,6,ความดีเล็กๆ เริ่มที่บ้านของเราทุกวัน,ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey) วิ่งเข้ามาในฉากจากทางซ้าย ช่วยแม่หมี (Mom) เก็บของเล่นใส่กล่องตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A monkey cub named น้องโฮมมี่ (Homey) helping a bear mother named แม่หมี (Mom) tidy up toys, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, helps แม่หมี (Mom) pick up and put away toys in the center, both smiling. They then run out to the right, leaving the screen blank white. Cooperative and helpful action.`"
11,1:00 - 1:06,6,มาสร้างรอยยิ้มไปด้วยกัน,"ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย หัวเราะและสนุกสนานร่วมกันอย่างมีความสุขตรงกลางฉาก แล้วทั้งหมดก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้",Medium Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family) consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) laughing together joyfully, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), including น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), run into the frame from the left. They burst into laughter together in the center, and then run out to the right, leaving the screen blank white. Joyful and infectious laughter.`"
12,1:06 - 1:12,6,เพลงโฮมมี่แฟมิลี่(Theme Song),"ฉากขาวว่างเปล่า น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom) และ คุณยายเต่า (Granny) วิ่งเข้ามาในฉากจากทางซ้าย ยืนโบกมือและแจกรอยยิ้มสดใสให้กล้องตรงกลางฉาก แล้วทั้งหมดก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family) consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) standing together smiling, running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), including น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), run into the frame from the left. They pose together smiling in the center, and then run out to the right, leaving the screen blank white. Confident and happy pose.`"
13,1:12 - 1:18,6,พ่อยีราฟ ตัวสูงใหญ่ คอยดูแลและปกป้อง,ฉากขาวว่างเปล่า พ่อยีราฟ (Dad) วิ่งเข้ามาในฉากจากทางซ้าย ยืนโอบไหล่ดูแลปกป้องน้องโฮมมี่ (Homey) อย่างอ่อนโยนตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Shot,Eye-level,Clean studio lighting.,"`A giraffe father named พ่อยีราฟ (Dad) gently putting an arm around a monkey cub named น้องโฮมมี่ (Homey), running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`พ่อยีราฟ (Dad) runs into the frame from the left, gently puts an arm around น้องโฮมมี่ (Homey) in the center with an affectionate look, and then runs out to the right, leaving the screen blank white. Protective and caring gesture.`"
14,1:18 - 1:24,6,แม่หมี ใจดีๆ กอดอบอุ่นกว่าใคร,ฉากขาวว่างเปล่า แม่หมี (Mom) วิ่งเข้ามาในฉากจากทางซ้าย กอดน้องโฮมมี่ (Homey) อย่างแสนอบอุ่นตรงกลางฉาก แล้วทั้งคู่ก็วิ่งออกไปทางขวาจนลับสายตา ทิ้งฉากขาวว่างเปล่าไว้,Medium Close-up,Eye-level,Clean studio lighting.,"`A bear mother named แม่หมี (Mom) giving a warm hug to a monkey cub named น้องโฮมมี่ (Homey), running into the frame from the left on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, highly detailed.`","`แม่หมี (Mom) runs into the frame from the left, pulls น้องโฮมมี่ (Homey) into a warm, comforting hug in the center, patting their back gently. แม่หมี (Mom) then runs out to the right, leaving the screen blank white. Tender and loving embrace.`"
15,1:24 - 1:30,6,คุณยายเต่า เล่านิทาน สนุกสนานและสอนใจ,คุณยายเต่า (Granny) และ น้องโฮมมี่ (Homey) วิ่งเข้ามาจากทางซ้าย คุณยายเต่า (Granny) กำลังเล่านิทานให้น้องโฮมมี่ (Homey) ฟังอย่างตั้งใจ จากนั้นทั้งคู่ก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.,Medium Shot,Eye-level,Clean studio lighting.,"`A turtle grandmother named คุณยายเต่า (Granny) and a monkey cub named น้องโฮมมี่ (Homey) on a solid pure white background. คุณยายเต่า (Granny) is telling a story to น้องโฮมมี่ (Homey). Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`คุณยายเต่า (Granny) and น้องโฮมมี่ (Homey) run into the frame from the left. คุณยายเต่า (Granny) gestures with her hands as she tells a story to an attentive น้องโฮมมี่ (Homey). They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
16,1:30 - 1:36,6,และน้องโฮมมี่ไง ลิงน้อยพร้อมลุย,น้องโฮมมี่ (Homey) วิ่งเข้ามาจากทางซ้าย ทำท่าทางกระตือรือร้น พร้อมจะออกไปผจญภัย จากนั้นก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.,Medium Close-up,Eye-level,Clean studio lighting.,"`A lively monkey cub named น้องโฮมมี่ (Homey) on a solid pure white background, striking an energetic pose, ready for adventure. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left, striking a playful, adventurous pose, looking determined and excited. น้องโฮมมี่ (Homey) then runs out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
17,1:36 - 1:42,6,จับมือไว้แล้วก้าวไป,น้องโฮมมี่ (Homey) และ พ่อยีราฟ (Dad) วิ่งเข้ามาจากทางซ้าย น้องโฮมมี่ (Homey) จูงมือพ่อยีราฟ (Dad) ออกไป จากนั้นทั้งคู่ก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.,Medium Shot,Eye-level,Clean studio lighting.,"`A monkey cub named น้องโฮมมี่ (Homey) holding a giraffe father's hand, named พ่อยีราฟ (Dad), on a solid pure white background. They are walking forward. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey) and พ่อยีราฟ (Dad) run into the frame from the left. น้องโฮมมี่ (Homey) eagerly pulls พ่อยีราฟ (Dad)'s hand as they walk forward. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
18,1:42 - 1:48,6,สนุกแน่แค่ลุยไปกับพวกเรา,"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย วิ่งเล่นอย่างสนุกสนาน จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Wide Shot,High-angle,Clean studio lighting.,"`The family, consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), running and playing joyfully on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left, running and laughing across the space with energy and fun. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
19,1:48 - 1:54,6,โอ้ เพลงโฮมมี่แฟมิลี่(Theme Song),"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย ยืนรวมกัน มองออกไป จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), standing together on a solid pure white background, looking out towards a view. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. They stand together, looking out. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
20,1:54 - 2:00,6,ครอบครัวแสนอบอุ่นที่พร้อมจะแบ่งปัน,"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย แม่หมี (Mom) กำลังแบ่งขนมให้ทุกคน จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Medium Shot,Eye-level,Clean studio lighting.,"`A bear mother named แม่หมี (Mom) sharing snacks with her family, consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), and คุณยายเต่า (Granny), on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. แม่หมี (Mom) offers a plate of cookies to each family member, who happily accept. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
21,2:00 - 2:06,6,ความดีเล็กๆ เริ่มที่บ้านของเราทุกวัน,น้องโฮมมี่ (Homey) และ คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย น้องโฮมมี่ (Homey) ช่วยคุณยายเต่า (Granny) รดน้ำต้นไม้ จากนั้นทั้งคู่ก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.,Medium Shot,Eye-level,Clean studio lighting.,"`A monkey cub named น้องโฮมมี่ (Homey) helping a turtle grandmother named คุณยายเต่า (Granny) water plants on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey) and คุณยายเต่า (Granny) run into the frame from the left. น้องโฮมมี่ (Homey) carefully holds a small watering can and helps คุณยายเต่า (Granny) water a small plant. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
22,2:06 - 2:12,6,มาสร้างรอยยิ้มไปด้วยกัน,"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย ทุกคนในครอบครัวยิ้มให้กันและกัน จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Medium Shot,Eye-level,Clean studio lighting.,"`The family members, น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), smiling warmly at each other on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. Each family member looks at another and shares a warm, genuine smile. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
23,2:12 - 2:18,6,เพลงโฮมมี่แฟมิลี่(Theme Song),"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย ยืนรวมกันอย่างมีความสุข จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), standing together happily on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. They stand together, smiling contentedly. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
24,2:18 - 2:24,6,ความดีเล็กๆ เริ่มที่บ้าน,น้องโฮมมี่ (Homey) วิ่งเข้ามาจากทางซ้าย เก็บดอกไม้ในสวน จากนั้นก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.,Medium Shot,Eye-level,Clean studio lighting.,"`A monkey cub named น้องโฮมมี่ (Homey) picking flowers on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey) runs into the frame from the left. น้องโฮมมี่ (Homey) gently picks a bright flower and holds it up to admire. น้องโฮมมี่ (Homey) then runs out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
25,2:24 - 2:30,6,เพลงโฮมมี่แฟมิลี่(Theme Song),"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย ยืนรวมกัน จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), standing together on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. They stand together. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
26,2:30 - 2:36,6,(ดนตรีเอาท์โทร),"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย นั่งล้อมวงบนผ้าปูพื้น จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), sitting together in a circle on a picnic blanket on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. They settle down together in a circle on the picnic blanket. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
27,2:36 - 2:41,5,(ดนตรีเอาท์โทร),"น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) วิ่งเข้ามาจากทางซ้าย ยืนรวมกัน จากนั้นทุกคนก็วิ่งออกไปทางขวา บนฉากหลังสีขาวล้วน.",Wide Shot,Eye-level,Clean studio lighting.,"`The เพลงโฮมมี่แฟมิลี่(Theme Song) (Homey Family), consisting of น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny), standing together on a solid pure white background. Disney Pixar 3D animation style, clay rendering, plasticine texture, clean studio lighting, highly detailed.`","`น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), and คุณยายเต่า (Granny) run into the frame from the left. They stand together. They then run out of the frame to the right. Solid pure white background, clean studio lighting, Disney Pixar 3D animation style.`"
