Scene No,Start Time,End Time,Duration (s),Audio Cue / Lyrics,Visual Action Description,Shot Type,Camera Angle,Lighting,Photo Prompt,Characters In Scene,Motion Prompt
1,0:00,0:06,6,(ดนตรี Intro เริ่มต้นสดใส),น้องโฮมมี่ (Homey) วิ่งเข้ามาจากด้านซ้ายของเฟรมด้วยความร่าเริง กระโดดโลดเต้นอย่างสนุกสนานอยู่กลางฉากสตูดิโอสีขาวล้วน,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, a small, energetic monkey cub named Homey, with big round eyes, wearing a striped t-shirt and dark blue denim overalls, running in from the left side of the frame with a joyful expression, mid-jump, dancing playfully on a pure solid white studio floor. Clean solid white studio background, warm studio lighting casting soft shadows, smooth detailed textures, 16:9 aspect ratio.",น้องโฮมมี่ (Homey),"Static camera, wide shot. Homey, a small monkey cub in Disney Pixar 3D style, runs into the frame from the left, jumps joyfully, and dances playfully in the center of the solid white stage."
2,0:06,0:10,4,ต๊ะดะระรำ ต๊ะดะระรำ ต๊ะดะระรำ,น้องโฮมมี่ (Homey) เต้นอยู่กลางเฟรม พ่อยีราฟ (Dad) เดินเข้ามาจากด้านขวาของฉากสีขาวและเริ่มขยับเต้นเลียนแบบท่าทางของน้องโฮมมี่อย่างอารมณ์ดี,Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the small monkey cub is dancing in the center, and a tall, friendly giraffe father named Dad wearing a green polo shirt and dark blue trousers is walking in from the right side of the frame, smiling and joining the dance on a pure white floor. Clean solid white background, warm studio lighting, highly detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad)","The camera slowly pans right. Dad the giraffe walks into the scene from the right and joins Homey the monkey, both dancing together on the white stage."
3,0:10,0:14,4,ป๊ะปะระรำ ป๊ะปะระรำ ป๊ะปะระรำ,น้องโฮมมี่ (Homey) และพ่อยีราฟ (Dad) เต้นคู่กัน แม่หมี (Mom) เดินเข้ามาจากส่วนลึกด้านหลังของเฟรม (background) เข้ามาร่วมเต้นแจมด้วยความอ่อนโยน,Medium Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the small monkey and Dad the giraffe father are dancing together, and a gentle brown bear mother named Mom wearing a white shirt and pink knit cardigan is walking forward from the background, smiling and joining them on the white floor. Clean solid white background, warm studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","The camera slowly dollies back. Mom the brown bear walks in from the background, moving forward to join Homey and Dad in their dance."
4,0:14,0:18,4,ตื่นขึ้นมาในตอนเช้า...,"ตัวละครทั้งสาม (โฮมมี่, พ่อยีราฟ, แม่หมี) หยุดเต้น หันมองมายังหน้าจอร่วมกัน ค่อยๆ บิดแขนยืดตัวอย่างอบอุ่นเหมือนตื่นนอนตอนเช้าอย่างมีความสุข",Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the monkey, Dad the giraffe, and Mom the bear standing side-by-side, stretching their arms gently and smiling as if waking up, standing on a pure solid white studio floor. Clean solid white background, soft studio lighting casting warm glow, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","Static camera. The three characters transition from dancing to a synchronous gentle stretching motion, looking forward with cheerful and fresh faces."
5,0:18,0:24,6,...ยิ้มรับวันใหม่,ตัวละครทั้งสามส่งยิ้มหวานให้กันและหัวเราะอย่างร่าเริง แสดงความรักและพร้อมต้อนรับเช้าวันใหม่บนพื้นสตูดิโอขาวสะอาด,Medium Close-up,Eye-level,Bright studio light,"Disney Pixar 3D animation style, close-up of Homey the monkey, Dad the giraffe, and Mom the bear laughing together and smiling warmly at each other, standing close on a pure white floor. Clean solid white studio background, bright studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","The camera slowly zooms in slightly on their faces. The characters turn their heads towards each other, sharing laughter and happy smiles."
6,0:24,0:28,4,มีความสุขอยู่รอบกาย...,คุณยายเต่า (Granny) ยืนส่งยิ้มใจดีอยู่ทางด้านซ้ายของเฟรม น้องโฮมมี่วิ่งร่าเริงเข้ามาจากซ้ายแล้วเข้าไปกอดเอวคุณยายเต่าอย่างมีความสุข พ่อยีราฟและแม่หมีเฝ้ามองยิ้มๆ จากด้านหลัง,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Granny the kind turtle in a cream cardigan and round glasses stands and smiles kindly on the left. Homey the monkey cub runs in from the left and hugs her waist on a pure white floor. Dad the giraffe and Mom the bear stand in the background, smiling. Clean solid white background, soft shadows, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), คุณยายเต่า (Granny), พ่อยีราฟ (Dad), แม่หมี (Mom)","Static camera, wide shot. Granny stands on the left. Homey enters running from the left and hugs Granny's waist. Dad and Mom watch and smile from the background."
7,0:28,0:34,6,...ในบ้านของเรา,"ทุกคน (โฮมมี่, พ่อยีราฟ, แม่หมี, คุณยายเต่า) มารวมกลุ่มกันกลางเฟรม กอดกันเป็นวงกลมอย่างอบอุ่นและสบายใจ มีพร็อบเก้าอี้ 3D จิ๋วสไตล์พาสเทลประดับไว้ด้านข้าง",Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family of Homey the monkey, Dad the giraffe, Mom the bear, and Granny the turtle hugging in a tight cozy circle on a pure white floor. A minimal pastel 3D stylized miniature chair prop is placed nearby on the white surface. Clean solid white studio background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","Static camera. The characters gently sway side-to-side in a group hug, showing affection and comfort on the white stage."
8,0:34,0:38,4,เรื่องสนุกมีมากมาย...,น้องโฮมมี่ผละออกจากวงกอด วิ่งอย่างตื่นเต้นไปทางขวาของเฟรม นั่งลงข้างกล่องของเล่น 3D สไตล์น่ารักและเริ่มแกะฝาเปิดกล่องอย่างรวดเร็ว พ่อยีราฟและแม่หมีก้าวตามมามองดูด้วยความสนใจ,Medium Wide Shot,Eye-level,Bright studio light,"Disney Pixar 3D animation style, Homey the monkey cub running towards the right side of the frame and kneeling down to open a colorful stylized 3D toy box on the white floor. Dad the giraffe and Mom the bear walk towards him. Pure white floor, clean solid white background, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)",The camera tracks right. Homey runs to the right and opens the box quickly. Dad and Mom walk towards him to look inside.
9,0:38,0:42,4,...รอให้เราไปเรียนรู้ มาสิมา มาดู ไปด้วยกัน,น้องโฮมมี่ชูของเล่น 3D ทรงกลมและสี่เหลี่ยมขึ้นมาดูอย่างสงสัย ใคร่รู้ พ่อยีราฟและคุณยายเต่าชี้แนะอธิบายด้วยรอยยิ้ม,Medium Close-up,Eye-level,Bright studio light,"Disney Pixar 3D animation style, close-up of Homey the monkey holding up colorful stylized 3D geometric shapes, looking at them with curiosity. Dad the giraffe and Granny the turtle lean in to point and explain to him on a white floor. Clean solid white background, studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), คุณยายเต่า (Granny)","The camera slowly zooms in on the 3D shapes in Homey's hand. Dad and Granny nod and point to the toy, making speaking gestures."
10,0:42,0:46,4,จับมือไว้แล้วก้าวไป...,น้องโฮมมี่ พ่อยีราฟ และแม่หมี จับมือเรียงกันเป็นหน้ากระดาน เตรียมตัวเดินก้าวไปข้างหน้าด้วยกันบนฉากขาว,Medium Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Homey the monkey, Dad the giraffe, and Mom the bear holding hands side-by-side, looking forward, standing on a clean pure white floor. Clean solid white studio background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom)","Static camera. The characters hold hands, look straight ahead, and stand in a neat line, ready to walk forward."
11,0:46,0:50,4,...พร้อมรึยังจะลุยไปกับพวกเรา,ทุกคนจูงมือกันก้าวเดินอย่างพร้อมเพรียงไปทางขวาของเฟรมด้วยท่าทางกระตือรือร้นและมั่นใจ และเคลื่อนที่ต่อเนื่องออกนอกเฟรมขวา,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family holding hands and walking confidently to the right side of the frame, exiting the scene on a pure white floor. Clean solid white studio background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","The camera pans right, tracking the family as they walk confidently hand-in-hand and exit the frame to the right."
12,0:50,0:56,6,โอ โฮมมี่ แฟมิลี่ (Homey Family),น้องโฮมมี่วิ่งเข้ามาจากซ้ายของเฟรม ถือป้ายชื่อ 'Homey Family' สไตล์ 3D สีพาสเทล ชูขึ้นเหนือหัวแล้วหมุนตัวเต้นฉลอง,Medium Shot,Eye-level,Bright studio light,"Disney Pixar 3D animation style, Homey the monkey cub running in from the left, proudly holding a colorful pastel stylized 3D sign that reads 'Homey Family' above his head, dancing on a white floor. Clean solid white background, bright studio lighting, detailed 3D render, 16:9 aspect ratio.",น้องโฮมมี่ (Homey),"Static camera. Homey runs in from the left, raises the 3D sign above his head, and spins around happily."
13,0:56,1:02,6,ครอบครัวแสนอบอุ่น ที่พร้อมจะแบ่งปัน,พ่อยีราฟและแม่หมีเดินเข้ามาจากขวาเพื่อนำขนมและผลไม้ 3D มาแบ่งปันให้กับโฮมมี่และยายเต่า บรรยากาศเต็มไปด้วยรอยยิ้มและการเอื้อเฟื้อ,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Dad the giraffe and Mom the bear entering from the right, sharing 3D fruits and treats with Homey the monkey and Granny the turtle on a white floor. Clean solid white background, warm studio lighting, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","The camera pans right to reveal Dad and Mom entering, then records them handing 3D apples and treats to Homey and Granny."
14,1:02,1:08,6,ความดีเล็กๆ เริ่มที่บ้านของเราทุกวัน เย้!,ทุกคนชูมือขึ้นและกระโดดดีใจพร้อมกันกลางเฟรม โดยมีสายรุ้งและดอกไม้ 3D โปรยปรายลงมาจากด้านบนฉากขาว,Wide Shot,Eye-level,Bright studio light,"Disney Pixar 3D animation style, the whole family jumping in the air together, cheering, with colorful 3D confetti and flowers falling from above on a pure white floor. Clean solid white background, bright studio lighting, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)",Slow-motion video. The family jumps joyfully in the air while colorful 3D confetti floats down around them on the white stage.
15,1:08,1:14,6,(ดนตรี Instrumental Break สนุกสนาน คั่นจังหวะ),ทุกคนเริ่มกระจายตัวเต้นฟรีสไตล์ตลกๆ รอบเฟรม น้องโฮมมี่ตีลังกา พ่อยีราฟยืดคอเต้นส่ายหัว แม่หมีหมุนตัว และยายเต่าขยับเต้นช้าๆ,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family doing funny freestyle dance moves on a pure white floor: Homey doing a cartwheel, Dad swaying his long neck, Mom spinning, Granny dancing slowly. Clean solid white background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","The camera slowly pans left and right, capturing each character performing their unique Pixar-style funny dances."
16,1:14,1:20,6,พ่อยีราฟตัวสูงใหญ่ คอยดูแลและปกป้อง,พ่อยีราฟ (Dad) ก้าวเดินมาข้างหน้า โพสท่ากางแขนออกเพื่อแสดงท่าทางปกป้องดูแลครอบครัวด้วยความอบอุ่นและมั่นใจเต็มเฟรม,Medium Shot,Low-angle,Warm studio lighting,"Disney Pixar 3D animation style, low-angle medium shot of a tall, proud giraffe father named Dad in a green polo shirt, spreading his arms protectively with a reassuring smile on a pure white floor. Clean solid white background, warm key lighting, detailed 3D render, 16:9 aspect ratio.",พ่อยีราฟ (Dad),"The camera slowly tilts up from a low angle. Dad steps forward towards the camera and spreads his arms in a warm, protective gesture."
17,1:20,1:24,4,แม่หมีใจดีๆ กอดอบอุ่นกว่าใคร,แม่หมี (Mom) และน้องโฮมมี่ (Homey) ยืนเคียงข้างกันอยู่กึ่งกลางเฟรม แม่หมีก้มลงสวมกอดน้องโฮมมี่อย่างรักใคร่อบอุ่น (พ่อยีราฟยืนเฝ้ามองอบอุ่นอยู่ด้านหลังเป็นฉากหลัง),Medium Shot,Eye-level,Soft key light,"Disney Pixar 3D animation style, Mom the bear in a pink cardigan kneeling and hugging Homey the monkey gently on a pure white floor. Dad the giraffe stands in the soft-focus background. Clean solid white background, soft key lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), แม่หมี (Mom), พ่อยีราฟ (Dad)","Static camera. Mom and Homey stay in a tight, warm hug in the center of the frame, showing love and comfort."
18,1:24,1:30,6,คุณยายเต่าเล่านิทาน สนุกสนานและสอนใจ,แม่หมีและโฮมมี่เดินขยับไปนั่งฟัง คุณยายเต่า (Granny) ถือหนังสือนิทาน 3D เล่มใหญ่ ขยับปากเล่าสอนใจอย่างใจดี,Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, Granny the turtle sitting and holding a large open 3D book, talking kindly, while Homey the monkey and Mom the bear sit on the white floor nearby listening. Clean solid white background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), แม่หมี (Mom), คุณยายเต่า (Granny)","The camera gently zooms in on Granny as she opens the 3D book and mimics speaking, then pans to show Homey and Mom listening."
19,1:30,1:34,4,และน้องโฮมมี่ไง ลิงน้อยพร้อมลุย,น้องโฮมมี่หยิบหมวกผจญภัย 3D สีน้ำตาลที่พกไว้มาสวมบนหัวทันที ยืนโพสท่าห้าวหาญเป็นนักบุกเบิกตัวน้อยพร้อมลุย โดยพ่อยีราฟ แม่หมี และยายเต่ายืนอยู่ใกล้ๆ คอยเชียร์,Medium Close-up,Eye-level,Bright studio light,"Disney Pixar 3D animation style, Homey the monkey putting a small brown stylized 3D explorer hat on his head, pointing forward with a brave smile. Dad, Mom, and Granny stand nearby cheering on a white floor. Clean solid white background, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)",Homey quickly puts on his 3D explorer hat and strikes a heroic pointing pose. The camera holds on his brave face.
20,1:34,1:38,4,จับมือไว้แล้วก้าวไป...,ตัวละครทุกตัวซึ่งยืนอยู่ใกล้กันอยู่แล้วในซีนก่อนหน้า ยื่นมือออกมารวบจับกันเป็นแถวหน้ากระดานทันทีด้วยรอยยิ้มผูกพัน,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the entire family of Homey, Dad, Mom, and Granny standing close and holding hands in a horizontal line, smiling warmly on a pure white floor. Clean solid white background, warm studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","Static camera. The characters immediately clasp hands and form a unified line, holding their stance with warm smiles."
21,1:38,1:42,4,...สนุกแน่แค่ลุยไปกับพวกเรา,ทุกคนจูงมือกันกระโดดข้ามเฟรมไปทางขวาอย่างร่าเริง เคลื่อนที่ออกนอกเฟรมขวาไปพร้อมๆ กันอย่างพร้อมเพรียง,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family happily skipping and jumping together towards the right side of the frame, exiting the scene on a pure white floor. Clean solid white background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)",The camera pans right to track the family as they skip and jump out of the frame to the right.
22,1:42,1:48,6,โอ โฮมมี่ แฟมิลี่ (Homey Family),ทุกคนเต้นวิ่งเข้ามาจากซ้ายของเฟรม พ่อยีราฟ แม่หมี และยายเต่าเต้นหมุนรอบน้องโฮมมี่ที่ทำท่าเต้นตลกอยู่ตรงกลางฉากขาว,Wide Shot,Eye-level,Bright studio light,"Disney Pixar 3D animation style, the family running in from the left. Dad, Mom, and Granny are dancing in a circle around Homey the monkey who is doing a funny dance in the center of a pure white stage. Clean solid white background, bright lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)",The characters enter from the left and dance in a circle around Homey. The camera slowly orbits around them.
23,1:48,1:54,6,ครอบครัวแสนอบอุ่น ที่พร้อมจะแบ่งปัน,ทุกคนหยุดเต้นและยกแขนขึ้นมาทำสัญลักษณ์รูปหัวใจร่วมกันกลางเวที ส่งต่อความรักความอบอุ่นให้แก่ผู้ชม,Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family of Homey, Dad, Mom, and Granny standing together on a white floor, using their hands and arms to form heart shapes, smiling sweetly. Clean solid white background, warm studio lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","The camera slowly pushes in as the family raises their arms to form hearts, holding the pose with big warm smiles."
24,1:54,2:00,6,ความดีเล็กๆ เริ่มที่บ้านของเราทุกวัน เย้!,ทุกคนชูนิ้วโป้งเยี่ยมพร้อมกระโดดชูมือแสดงความดีใจในบ้าน สตูดิโอมีแสงสีเหลืองทองสลัวสาดส่องลงบนพื้นขาวเพิ่มความประทับใจ,Wide Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family celebrating and jumping together on a white floor with warm golden light rays shining down. Clean solid white background, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)",The camera captures the family jumping with joy in slow motion. Warm golden lighting dims slightly at the edges to highlight the center.
25,2:00,2:06,6,ความดีเล็กๆ เริ่มที่บ้าน,"กล้องโคลสอัปจับภาพรอยยิ้มอย่างมีความสุขของสมาชิกครอบครัวสลับกันทีละคน (น้องโฮมมี่, พ่อยีราฟ, แม่หมี, ยายเต่า) บนฉากหลังสีขาวล้วน",Close-up,Eye-level,Soft key light,"Disney Pixar 3D animation style, a split portrait or close-up of the smiling faces of Homey, Dad, Mom, and Granny, showing gentle warm smiles on a pure white background, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)",The camera smoothly cuts and pans between each character's face as they smile warmly at the camera.
26,2:06,2:14,8,โฮมมี่ แฟมิลี่,ทุกคนเดินขยับมานั่งร่วมกันบนโซฟาผ้า 3D สีครีมที่วางอยู่ตรงกลางฉากขาวอย่างพร้อมหน้า ยิ้มและโบกมือให้กับผู้ชมอย่างสงบและมีความสุข,Medium Shot,Eye-level,Warm studio lighting,"Disney Pixar 3D animation style, the family sitting cozy and together on a light cream stylized 3D sofa in the center of a pure white stage, waving their hands gently and smiling. Clean solid white background, warm lighting, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","The family sits down on the 3D sofa, puts their arms around each other, and waves to the camera. The camera is steady."
27,2:14,2:24,10,(ดนตรี Outro และท่อนจบเฟดเอาท์อย่างอบอุ่น),ทุกคนยังคงโบกมืออำลาอย่างช้าๆ กล้องค่อยๆ ดอลลี่ถอยหลังออกไปช้าๆ และแสงไฟในสตูดิโอค่อยๆ หรี่ลงจนภาพเฟดหายไปในสีขาวสะอาดตา,Wide Shot,Eye-level,"Warm studio lighting, fading out","Disney Pixar 3D animation style, wide shot of the family sitting on the 3D sofa waving goodbye on a vast pure white stage, as the light slowly dims and fades. Clean solid white background, soft shadows fading out, detailed 3D render, 16:9 aspect ratio.","น้องโฮมมี่ (Homey), พ่อยีราฟ (Dad), แม่หมี (Mom), คุณยายเต่า (Granny)","The camera slowly dollies back away from the family as they wave goodbye, while the studio lighting gradually fades to a soft white blank screen."
